Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,59205485.0,61631971.0,63013493.0,64347330.0,65629819.0,66860958.0,68026093.0,69110567.0,70140029.0,70949598.0,71717793.0,72529867.0,73593942.0,74781013.0,75722468.0,77042718.0,78685964.0,80954308.0,85152637.0,91912951.0,100365175.0,112591192.0,123333249.0,133333663.0,143122849.0,153230277.0,165488185.0,178502925.0
Africa,15923936796.0,16610791075.0,17280348214.0,17989891459.0,18710122956.0,19485633617.0,20279206383.0,21091886368.0,21927216344.0,22755551690.0,23640083267.0,24519201998.0,25403353837.0,26365325805.0,27398417645.0,28442492860.0,29526291008.0,30652623962.0,31830766884.0,33019042498.0,34212826270.0,35411199285.0,36645041459.0,37895685023.0,39186174236.0,40475177493.0,41785833882.0,43117573841.0
Albania,172482800.0,176766016.0,179279520.0,181613488.0,183537088.0,185621904.0,187637104.0,189179648.0,190931040.0,193913536.0,196932672.0,200153328.0,203901600.0,208192144.0,212354448.0,216604688.0,220499520.0,224423664.0,228794816.0,233169632.0,237764288.0,243000144.0,247906240.0,252966224.0,258678400.0,264626124.0,270898982.0,277278189.0
Algeria,1227344595.0,1306149946.0,1386031717.0,1467974158.0,1554120833.0,1649102794.0,1745888914.0,1832893260.0,1939514090.0,2031182001.0,2118624684.0,2202405358.0,2291812079.0,2382860272.0,2470713375.0,2577186565.0,2677387726.0,2785787700.0,2894819537.0,3015005401.0,3132819477.0,3252626365.0,3380736316.0,3513170946.0,3656347996.0,3806940494.0,3957318519.0,4107869896.0
Americas (other),44139315940.0,45610299952.0,47114212624.0,48656871827.0,50253627689.0,51873213217.0,53561428365.0,55328368455.0,57177221097.0,59067565309.0,60974588046.0,62905083846.0,64857939638.0,66861915212.0,68873832710.0,70950783125.0,73065649503.0,75233665397.0,77460245651.0,79617865087.0,81871783973.0,84166563311.0,86541969037.0,88948744132.0,91391915488.0,93827469251.0,96242527324.0,98641159642.0
Andorra,406704.0,813408.0,1220112.0,1630480.0,2037184.0,2462208.0,2916544.0,3381872.0,3872848.0,4385808.0,4909760.0,5433712.0,5964992.0,6499936.0,7060528.0,7635776.0,8181712.0,8720320.0,9258928.0,9775552.0,10292176.0,10783152.0,11270464.0,11746784.0,12208448.0,12685687.0,13197193.0,13717377.0
Angola,115663928.0,120726805.0,125891849.0,131640232.0,135505828.0,146454131.0,156878956.0,164226805.0,171496411.0,180626189.0,190141250.0,199812768.0,212410314.0,221398681.0,240100613.0,259107043.0,281209450.0,306185554.0,331671559.0,359237062.0,388101534.0,418243679.0,451429495.0,483802609.0,518260251.0,553021380.0,588372383.0,623762311.0
Anguilla,51296.0,102592.0,157552.0,223504.0,289456.0,355408.0,425024.0,494640.0,571584.0,652192.0,740128.0,835392.0,930656.0,1033248.0,1154160.0,1282400.0,1425296.0,1575520.0,1725744.0,1872304.0,2022528.0,2165424.0,2308320.0,2443888.0,2586784.0,2735961.0,2888033.0,3040078.0
Antarctic Fisheries,29312.0,43968.0,58624.0,73280.0,87936.0,91600.0,95264.0,98928.0,102592.0,106256.0,109920.0,113584.0,117248.0,120912.0,128240.0,135568.0,142896.0,153888.0,153888.0,153888.0,153888.0,153888.0,153888.0,153888.0,153888.0,153888.0,153888.0,153888.0
Antigua and Barbuda,10643920.0,10911392.0,11175200.0,11446336.0,11713808.0,11988608.0,12281728.0,12589504.0,12908272.0,13238032.0,13582448.0,13930528.0,14300592.0,14703632.0,15124992.0,15553680.0,15997024.0,16466016.0,16946000.0,17455296.0,17979248.0,18492208.0,19016160.0,19540112.0,20071392.0,20626024.0,21191421.0,21756717.0
Argentina,3669190220.0,3786035223.0,3907051937.0,4024616609.0,4146626649.0,4274225109.0,4408868759.0,4546426812.0,4685781263.0,4832291571.0,4974008376.0,5107318986.0,5231701199.0,5366321859.0,5523355499.0,5684780278.0,5859397784.0,6033630695.0,6221671879.0,6400539263.0,6587225715.0,6777473616.0,6968518297.0,7156946446.0,7359617936.0,7565985904.0,7773049963.0,7977373398.0
Armenia,156229024.0,162669665.0,168389596.0,170897861.0,173581357.0,176941449.0,179438793.0,182685236.0,186096308.0,189130008.0,192621418.0,196154118.0,199230726.0,202686288.0,206377482.0,210757312.0,215162562.0,220270324.0,225852438.0,230214768.0,234474944.0,239443820.0,245192072.0,250741500.0,256322937.0,262114667.0,268075480.0,273731872.0
Aruba,22389953.0,24071729.0,25533665.0,27127505.0,28739665.0,30406785.0,32095889.0,33839953.0,35635313.0,37441665.0,39819601.0,42226849.0,44663409.0,47224545.0,49840641.0,52559329.0,55274353.0,58095633.0,60752033.0,63379121.0,65885297.0,68384145.0,69732497.0,70593537.0,71465569.0,72375930.0,73303961.0,74231827.0
Asia and Pacific (other),68637505844.0,71745193845.0,74900566346.0,78104864949.0,81381826684.0,84738039393.0,88203759764.0,91761608164.0,95142752227.0,98637580592.0,102000000000.0,106000000000.0,110000000000.0,114000000000.0,118000000000.0,122000000000.0,126000000000.0,131000000000.0,135000000000.0,139000000000.0,144000000000.0,149000000000.0,154000000000.0,158000000000.0,163000000000.0,168000000000.0,173000000000.0,178000000000.0
Australia,7539894800.0,7819767164.0,8104679288.0,8393914145.0,8687928755.0,8993338555.0,9305699765.0,9626494461.0,9961178567.0,10305241904.0,10655436485.0,11013105228.0,11375314322.0,11745040157.0,12128245102.0,12514760314.0,12907442187.0,13307857916.0,13712906454.0,14121579085.0,14528331858.0,14932578429.0,15339724486.0,15737888284.0,16131352524.0,16534347977.0,16947717900.0,17360810555.0
Austria,3440940783.0,3506840461.0,3567271920.0,3628059659.0,3689250006.0,3753455956.0,3821129844.0,3888582855.0,3955637219.0,4021258224.0,4087519967.0,4157910825.0,4230057363.0,4307821612.0,4385874158.0,4465240838.0,4541929302.0,4615961420.0,4689767691.0,4757250750.0,4829633894.0,4899749565.0,4967410964.0,5035412195.0,5099665521.0,5166369509.0,5233771592.0,5303713347.0
Azerbaijan,1497391055.0,1558191309.0,1614367111.0,1662775453.0,1704722012.0,1738033128.0,1769274738.0,1799078598.0,1830743640.0,1859313868.0,1888820188.0,1917612868.0,1947254717.0,1977881439.0,2009959594.0,2044246014.0,2083354554.0,2113812824.0,2149263424.0,2181120054.0,2211752942.0,2245149560.0,2280646506.0,2316226467.0,2353640890.0,2393882319.0,2433570604.0,2471780322.0
Bahamas,107810128.0,109590832.0,111382528.0,113082624.0,114768064.0,116449840.0,118116960.0,119479968.0,121158080.0,122832528.0,124499648.0,126067840.0,127643360.0,129160256.0,130882336.0,132622736.0,134286192.0,135975296.0,137470208.0,139111680.0,140764144.0,142629120.0,144596688.0,147395984.0,149810560.0,152327089.0,154892395.0,157456745.0
Bahrain,238198721.0,250054050.0,260927894.0,275537676.0,290293317.0,305080404.0,320670029.0,337957760.0,356323302.0,374311415.0,392929330.0,406834667.0,422511845.0,438949048.0,456388154.0,475520663.0,494277583.0,521047635.0,550730082.0,578827612.0,607902442.0,636341272.0,662789496.0,693873386.0,724962339.0,757809267.0,792074360.0,826530054.0
Bangladesh,198321556.0,214224115.0,231932904.0,249300820.0,268228795.0,291000182.0,314949824.0,339897856.0,363808971.0,388826400.0,416331291.0,448275158.0,481460528.0,516601168.0,553763031.0,592678928.0,635634625.0,679401066.0,727708679.0,780001288.0,838283137.0,899880606.0,965483132.0,1033189646.0,1104335325.0,1187836112.0,1273089719.0,1361147180.0
Barbados,18336992.0,19529097.0,20495421.0,21605257.0,22347141.0,23170100.0,24012430.0,24901328.0,26022542.0,27213758.0,28381793.0,29583085.0,30786890.0,32028260.0,33294270.0,34616604.0,35955896.0,37290266.0,38879272.0,40468581.0,41921213.0,43425375.0,44875267.0,46304794.0,47558304.0,48859181.0,50183850.0,51506565.0
Belarus,2329568044.0,2426608103.0,2516598549.0,2594214128.0,2658587085.0,2716534574.0,2775736848.0,2838282684.0,2897690502.0,2954681709.0,3010139744.0,3065700074.0,3121377231.0,3178489518.0,3239256709.0,3301306104.0,3366167714.0,3430431637.0,3496821696.0,3558759528.0,3622621918.0,3685394664.0,3749069421.0,3813493118.0,3877273104.0,3936238856.0,3996748059.0,4058119852.0
Belgium,9077075603.0,9200620312.0,9323278123.0,9444835407.0,9569773596.0,9695856560.0,9825440185.0,9949487009.0,10079772122.0,10204517824.0,10331312613.0,10457441619.0,10583886245.0,10711839430.0,10840880312.0,10966518514.0,11090549403.0,11211160804.0,11331819814.0,11439462181.0,11553044213.0,11657202855.0,11758597830.0,11860568272.0,11956959313.0,12057188803.0,12157432512.0,12257548524.0
Belize,5188224.0,5547296.0,5902704.0,6280096.0,6653824.0,7031216.0,7338992.0,7727376.0,8097440.0,8445520.0,8841232.0,9288240.0,9720592.0,10152944.0,10544992.0,10966352.0,11409696.0,11886016.0,12322032.0,12908272.0,13446880.0,14047776.0,14524096.0,15037056.0,15531696.0,16053957.0,16601391.0,17162217.0
Benin,11223359.0,12015488.0,12880431.0,13967115.0,15189369.0,16462928.0,17694029.0,18892180.0,20086545.0,21628865.0,23202863.0,24992635.0,27045815.0,29373394.0,31854460.0,34221541.0,37932883.0,42252514.0,46507328.0,51015261.0,55954206.0,61075490.0,66381011.0,72033650.0,78191884.0,84542220.0,91290139.0,98792204.0
Bermuda,12241424.0,12780032.0,13241696.0,13780304.0,14311584.0,14842864.0,15370480.0,15894432.0,16414720.0,16927680.0,17444304.0,17971920.0,18528848.0,19089440.0,19672016.0,20254592.0,20906784.0,21635920.0,22284448.0,22760768.0,23368992.0,23812336.0,24288656.0,24746656.0,25321904.0,25922436.0,26534625.0,27146704.0
Bhutan,747456.0,923575.0,1128952.0,1301980.0,1503588.0,1739729.0,2025040.0,2401878.0,2769041.0,3139802.0,3521489.0,3890502.0,4292212.0,4653338.0,4943817.0,5321940.0,5694946.0,6066973.0,6467797.0,6835598.0,7299755.0,7967219.0,8721026.0,9574170.0,10493774.0,11481731.0,12596312.0,13762670.0
Bolivia,113366275.0,119340292.0,125962278.0,133754104.0,142346540.0,152145509.0,161920048.0,172803111.0,183726961.0,194103006.0,205107699.0,213668303.0,223996404.0,235007571.0,246025897.0,258096381.0,273017224.0,285194073.0,298234712.0,311981298.0,326922681.0,342773919.0,361259630.0,379831255.0,399861054.0,419862979.0,440425242.0,461310418.0
Bonaire Sint Eustatius and Saba,15036344.0,15228814.0,15387386.0,15632170.0,15866850.0,16099086.0,16316328.0,16543674.0,16556223.0,16650258.0,16899768.0,17153842.0,17398790.0,17643900.0,17901070.0,18155959.0,18421603.0,18720658.0,19008304.0,19302632.0,19505369.0,19764006.0,19764006.0,19764006.0,19764006.0,20100610.0,20443748.0,20786824.0
Bosnia and Herzegovina,406888111.0,421039571.0,436067132.0,448646569.0,451850955.0,455253742.0,459492203.0,467857478.0,478408772.0,488742720.0,502444014.0,515707791.0,529880393.0,544230589.0,559693043.0,575739027.0,593125746.0,610600078.0,630558726.0,651095820.0,672241461.0,696002750.0,718138947.0,739939996.0,762057602.0,786821769.0,812823467.0,839470358.0
Botswana,17554224.0,20188640.0,22965952.0,26160960.0,29191088.0,32235872.0,34991200.0,37790496.0,41132064.0,44290432.0,48068016.0,51915216.0,55890656.0,59715872.0,63610704.0,67703392.0,71836384.0,76064640.0,80567696.0,84326960.0,88980546.0,93118913.0,97304533.0,102489293.0,109476098.0,116579065.0,123677461.0,131552447.0
Brazil,4635811488.0,4853038960.0,5071422464.0,5299755680.0,5539226400.0,5794809776.0,6076004560.0,6372589816.0,6680895536.0,6997177976.0,7321404016.0,7654391416.0,7981826248.0,8299334696.0,8633009840.0,8975096312.0,9317042680.0,9673961432.0,10054306360.0,10414397136.0,10825637328.0,11255832230.0,11715895322.0,12209488834.0,12729015183.0,13241097065.0,13714838441.0,14190905220.0
British Virgin Islands,875696.0,941648.0,1011264.0,1084544.0,1165152.0,1249424.0,1344688.0,1443616.0,1546208.0,1648800.0,1751392.0,1857648.0,1971232.0,2092144.0,2216720.0,2348624.0,2491520.0,2641744.0,2802960.0,2967840.0,3140048.0,3315920.0,3491792.0,3667664.0,3847200.0,4034627.0,4225692.0,4416724.0
Brunei,160948528.0,166254000.0,171464208.0,176428928.0,181118848.0,185904032.0,190645248.0,195576992.0,200735904.0,204539136.0,209130128.0,213519600.0,217773504.0,222243584.0,227116704.0,231986160.0,236723712.0,245033664.0,254025120.0,261770816.0,269831616.0,279376336.0,288869760.0,296498208.0,305423712.0,315779037.0,325743772.0,335970645.0
Bulgaria,2326315521.0,2386373570.0,2443213566.0,2500696978.0,2556633118.0,2614170105.0,2672122648.0,2727304268.0,2779830528.0,2825926800.0,2871140726.0,2920064041.0,2966230405.0,3016644866.0,3066153506.0,3116744801.0,3168570371.0,3224207405.0,3278180198.0,3323887343.0,3371680146.0,3424796614.0,3473066105.0,3515652108.0,3560794577.0,3608927268.0,3654214655.0,3703285889.0
Burkina Faso,9273584.0,9900128.0,10530336.0,11156880.0,11801744.0,12425614.0,13130074.0,13932766.0,14790395.0,15704568.0,16735464.0,17727150.0,18728226.0,19802536.0,20902445.0,22024292.0,23380526.0,25022393.0,26885164.0,28751993.0,30645934.0,32787172.0,35337514.0,38329926.0,41132032.0,43913288.0,46883100.0,50218081.0
Burundi,3677190.0,3915350.0,4131526.0,4358694.0,4593190.0,4831350.0,5073174.0,5322326.0,5571478.0,5824294.0,6095430.0,6300614.0,6513126.0,6674342.0,6872198.0,7026086.0,7212950.0,7399814.0,7590342.0,7780870.0,7993382.0,8230947.0,8504547.0,8782774.0,9214305.0,9690963.0,10199110.0,10728250.0
Cambodia,12673447.0,13977831.0,15326183.0,16711175.0,18178226.0,19718511.0,21315757.0,22840810.0,24776165.0,26670453.0,28645349.0,30895045.0,33100773.0,35478709.0,37922597.0,40696245.0,43693397.0,47145866.0,50950853.0,55491550.0,60408478.0,65502758.0,70836280.0,76312066.0,82828485.0,89805010.0,97286972.0,105225247.0
Cameroon,67633950.0,68690653.0,72420568.0,76260017.0,80031088.0,84205545.0,88637038.0,91793445.0,94930541.0,97928633.0,101274481.0,104599472.0,107923522.0,111622013.0,115472075.0,119063344.0,122815790.0,128517728.0,133944007.0,140538914.0,147200941.0,152831513.0,158806534.0,165421547.0,172275544.0,179492954.0,187079087.0,194766284.0
Canada,17171743393.0,17626370897.0,18095235665.0,18563115240.0,19046173697.0,19541838212.0,20052394999.0,20577648070.0,21111884568.0,21661927718.0,22234458458.0,22799093778.0,23369978876.0,23957575166.0,24543407966.0,25120209594.0,25690697237.0,26284837478.0,26859643349.0,27400162036.0,27955621729.0,28516397630.0,29080072830.0,29648965226.0,30216973614.0,30782550291.0,31340739291.0,31913521876.0
Cape Verde,2322135.0,2421063.0,2527319.0,2637239.0,2750823.0,2871735.0,3014631.0,3161191.0,3318743.0,3501943.0,3718119.0,3952615.0,4227415.0,4535191.0,4864951.0,5304631.0,5777287.0,6282919.0,6751911.0,7275863.0,7832791.0,8448343.0,8953975.0,9452279.0,9943255.0,10440465.0,10972669.0,11572647.0
Cayman Islands,2975168.0,3246304.0,3557744.0,3887504.0,4250240.0,4612976.0,4997696.0,5404400.0,5833088.0,6261776.0,6727104.0,7196096.0,7683408.0,8178048.0,8639712.0,9112368.0,9596016.0,10167600.0,10750176.0,11307104.0,11864032.0,12450272.0,12985216.0,13520160.0,14062432.0,14062432.0,14062432.0,14062432.0
Central African Republic,4514048.0,4719232.0,4935408.0,5158912.0,5393408.0,5627904.0,5862400.0,6107888.0,6357040.0,6620848.0,6888320.0,7133808.0,7379296.0,7613792.0,7848288.0,8082784.0,8331936.0,8584752.0,8837568.0,9090384.0,9354192.0,9632656.0,9925776.0,10222560.0,10523008.0,10826471.0,11137328.0,11448062.0
Chad,4623968.0,4689920.0,4774192.0,4865792.0,4968384.0,5078304.0,5202880.0,5345776.0,5496000.0,5657216.0,5833088.0,6005296.0,6173840.0,6554896.0,6932288.0,7331664.0,7738368.0,8200032.0,8709328.0,9200304.0,9716928.0,10255536.0,10851222.0,11531796.0,12238929.0,12952385.0,13681353.0,14410061.0
Chile,1005670924.0,1036613129.0,1068671026.0,1102834045.0,1140476402.0,1181566517.0,1229195028.0,1284645309.0,1341452535.0,1402359812.0,1460473506.0,1513050063.0,1567540399.0,1622424595.0,1681472103.0,1742419246.0,1806390824.0,1877097754.0,1947916432.0,2013836290.0,2085166076.0,2163249857.0,2242953747.0,2324629717.0,2405606788.0,2486768037.0,2572896035.0,2657499285.0
China,41802447868.0,44341371836.0,46998484242.0,49834279715.0,52844521924.0,56109578888.0,59517925478.0,62932474765.0,66198377385.0,69456512272.0,72805807048.0,76231951110.0,80014390407.0,84466700703.0,89592595120.0,95363763560.0,102000000000.0,109000000000.0,116000000000.0,124000000000.0,132000000000.0,142000000000.0,151000000000.0,161000000000.0,171000000000.0,181000000000.0,190000000000.0,200000000000.0
Christmas Island,1330032.0,1330032.0,1330032.0,1330032.0,1330032.0,1330032.0,1330032.0,1330032.0,1330032.0,1330032.0,1330032.0,1330032.0,1330032.0,1330032.0,1330032.0,1330032.0,1330032.0,1330032.0,1330032.0,1330032.0,1330032.0,1330032.0,1330032.0,1330032.0,1330032.0,1330032.0,1330032.0,1330032.0
Colombia,1303218700.0,1359873954.0,1421374301.0,1484711019.0,1551420471.0,1610040728.0,1669499252.0,1733270482.0,1797884205.0,1852911658.0,1909127374.0,1964378849.0,2019232075.0,2075960322.0,2130511733.0,2190762489.0,2252959841.0,2314531348.0,2381757865.0,2453609479.0,2528909899.0,2604652996.0,2684003284.0,2773003336.0,2856418874.0,2942441131.0,3028814117.0,3110040939.0
